fen,engine_name,score
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,maia_1900,0.0
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,stockfish_elo_1950,1.0
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,stockfish_elo_2007,1.0
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,stockfish_elo_2050,1.0
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,dragon,1.0
r1bqr1k1/ppp2ppp/2np1n2/3B4/Pb2P3/2N2N2/1P1BQPPP/R3K2R b KQ - 4 10,stockfish_full_test,1.0
r1bqr1k1/ppp2ppp/2np4/3N4/Pb2P3/5N2/1P1BQPPP/R3K2R b KQ - 0 11,player,0.5
r1bqr1k1/ppp2ppp/2np4/3N4/Pb2P3/5N2/1P1BQPPP/R3K2R b KQ - 0 11,maia_1100,0.5
r1bqr1k1/ppp2ppp/2np4/3N4/Pb2P3/5N2/1P1BQPPP/R3K2R b KQ - 0 11,maia_1200,0.5
r1bqr1k1/ppp2ppp/2np4/3N4/Pb2P3/5N2/1P1BQPPP/R3K2R b KQ - 0 11,maia_1300,0.5
r1bqr1k1/ppp2ppp/2np4/3N4/Pb2P3/5N2/1P1BQPPP/R3K2R b KQ - 0 11,maia_1400,0.5
r1bqr1k1/ppp2ppp/2np4/3N4/Pb2P3/5N2/1P1BQPPP/R3K2R b KQ - 0 11,maia_1500,0.5
r1bqr1k1/ppp2ppp/2np4/3N4/Pb2P3/5N2/1P1BQPPP/R3K2R b KQ - 0 11,maia_1600,0.5
r1bqr1k1/ppp2ppp/2np4/3N4/Pb2P3/5N2/1P1BQPPP/R3K2R b KQ - 0 11,maia_1700,0.5
r1bqr1k1/ppp2ppp/2np4/3N4/Pb2P3/5N2/1P1BQPPP/R3K2R b KQ - 0 11,maia_1800,0.5
r1bqr1k1/ppp2ppp/2np4/3N4/Pb2P3/5N2/1P1BQPPP/R3K2R b KQ - 0 11,maia_1900,0.5
r1bqr1k1/ppp2ppp/2np4/3N4/Pb2P3/5N2/1P1BQPPP/R3K2R b KQ - 0 11,stockfish_elo_1950,0.5
r1bqr1k1/ppp2ppp/2np4/3N4/Pb2P3/5N2/1P1BQPPP/R3K2R b KQ - 0 11,stockfish_elo_2007,1.0
r1bqr1k1/ppp2ppp/2np4/3N4/Pb2P3/5N2/1P1BQPPP/R3K2R b KQ - 0 11,stockfish_elo_2050,0.5
r1bqr1k1/ppp2ppp/2np4/3N4/Pb2P3/5N2/1P1BQPPP/R3K2R b KQ - 0 11,dragon,0.5
r1bqr1k1/ppp2ppp/2np4/3N4/Pb2P3/5N2/1P1BQPPP/R3K2R b KQ - 0 11,stockfish_full_test,0.5
r1bqr1k1/ppp2ppp/2np4/3N4/P3P3/8/1P1NQPPP/R3K2R b KQ - 0 12,player,0.25
r1bqr1k1/ppp2ppp/2np4/3N4/P3P3/8/1P1NQPPP/R3K2R b KQ - 0 12,maia_1100,0.25
r1bqr1k1/ppp2ppp/2np4/3N4/P3P3/8/1P1NQPPP/R3K2R b KQ - 0 12,maia_1200,0.25
r1bqr1k1/ppp2ppp/2np4/3N4/P3P3/8/1P1NQPPP/R3K2R b KQ - 0 12,maia_1300,0.25
r1bqr1k1/ppp2ppp/2np4/3N4/P3P3/8/1P1NQPPP/R3K2R b KQ - 0 12,maia_1400,0.25
r1bqr1k1/ppp2ppp/2np4/3N4/P3P3/8/1P1NQPPP/R3K2R b KQ - 0 12,maia_1500,0.25
r1bqr1k1/ppp2ppp/2np4/3N4/P3P3/8/1P1NQPPP/R3K2R b KQ - 0 12,maia_1600,0.25
r1bqr1k1/ppp2ppp/2np4/3N4/P3P3/8/1P1NQPPP/R3K2R b KQ - 0 12,maia_1700,0.25
r1bqr1k1/ppp2ppp/2np4/3N4/P3P3/8/1P1NQPPP/R3K2R b KQ - 0 12,maia_1800,0.25
r1bqr1k1/ppp2ppp/2np4/3N4/P3P3/8/1P1NQPPP/R3K2R b KQ - 0 12,maia_1900,0.25
r1bqr1k1/ppp2ppp/2np4/3N4/P3P3/8/1P1NQPPP/R3K2R b KQ - 0 12,stockfish_elo_1950,1.0
r1bqr1k1/ppp2ppp/2np4/3N4/P3P3/8/1P1NQPPP/R3K2R b KQ - 0 12,stockfish_elo_2007,1.0
r1bqr1k1/ppp2ppp/2np4/3N4/P3P3/8/1P1NQPPP/R3K2R b KQ - 0 12,stockfish_elo_2050,1.0
r1bqr1k1/ppp2ppp/2np4/3N4/P3P3/8/1P1NQPPP/R3K2R b KQ - 0 12,dragon,1.0
r1bqr1k1/ppp2ppp/2np4/3N4/P3P3/8/1P1NQPPP/R3K2R b KQ - 0 12,stockfish_full_test,1.0
r1bqr1k1/ppp2ppp/3p4/3N4/P2nP3/3Q4/1P1N1PPP/R3K2R b KQ - 2 13,player,0.5
r1bqr1k1/ppp2ppp/3p4/3N4/P2nP3/3Q4/1P1N1PPP/R3K2R b KQ - 2 13,maia_1100,0.25
r1bqr1k1/ppp2ppp/3p4/3N4/P2nP3/3Q4/1P1N1PPP/R3K2R b KQ - 2 13,maia_1200,1.0
r1bqr1k1/ppp2ppp/3p4/3N4/P2nP3/3Q4/1P1N1PPP/R3K2R b KQ - 2 13,maia_1300,1.0
r1bqr1k1/ppp2ppp/3p4/3N4/P2nP3/3Q4/1P1N1PPP/R3K2R b KQ - 2 13,maia_1400,1.0
r1bqr1k1/ppp2ppp/3p4/3N4/P2nP3/3Q4/1P1N1PPP/R3K2R b KQ - 2 13,maia_1500,1.0
r1bqr1k1/ppp2ppp/3p4/3N4/P2nP3/3Q4/1P1N1PPP/R3K2R b KQ - 2 13,maia_1600,1.0
r1bqr1k1/ppp2ppp/3p4/3N4/P2nP3/3Q4/1P1N1PPP/R3K2R b KQ - 2 13,maia_1700,0.25
r1bqr1k1/ppp2ppp/3p4/3N4/P2nP3/3Q4/1P1N1PPP/R3K2R b KQ - 2 13,maia_1800,1.0
r1bqr1k1/ppp2ppp/3p4/3N4/P2nP3/3Q4/1P1N1PPP/R3K2R b KQ - 2 13,maia_1900,1.0
r1bqr1k1/ppp2ppp/3p4/3N4/P2nP3/3Q4/1P1N1PPP/R3K2R b KQ - 2 13,stockfish_elo_1950,1.0
r1bqr1k1/ppp2ppp/3p4/3N4/P2nP3/3Q4/1P1N1PPP/R3K2R b KQ - 2 13,stockfish_elo_2007,1.0
r1bqr1k1/ppp2ppp/3p4/3N4/P2nP3/3Q4/1P1N1PPP/R3K2R b KQ - 2 13,stockfish_elo_2050,1.0
r1bqr1k1/ppp2ppp/3p4/3N4/P2nP3/3Q4/1P1N1PPP/R3K2R b KQ - 2 13,dragon,0.5
r1bqr1k1/ppp2ppp/3p4/3N4/P2nP3/3Q4/1P1N1PPP/R3K2R b KQ - 2 13,stockfish_full_test,1.0
r1bqr1k1/ppp2ppp/3pn3/3N4/P3P3/3Q4/1P1N1PPP/R4RK1 b - - 4 14,player,0.5
r1bqr1k1/ppp2ppp/3pn3/3N4/P3P3/3Q4/1P1N1PPP/R4RK1 b - - 4 14,maia_1100,0.25
r1bqr1k1/ppp2ppp/3pn3/3N4/P3P3/3Q4/1P1N1PPP/R4RK1 b - - 4 14,maia_1200,0.25
r1bqr1k1/ppp2ppp/3pn3/3N4/P3P3/3Q4/1P1N1PPP/R4RK1 b - - 4 14,maia_1300,0.25
r1bqr1k1/ppp2ppp/3pn3/3N4/P3P3/3Q4/1P1N1PPP/R4RK1 b - - 4 14,maia_1400,0.25
r1bqr1k1/ppp2ppp/3pn3/3N4/P3P3/3Q4/1P1N1PPP/R4RK1 b - - 4 14,maia_1500,0.25
r1bqr1k1/ppp2ppp/3pn3/3N4/P3P3/3Q4/1P1N1PPP/R4RK1 b - - 4 14,maia_1600,0.25
r1bqr1k1/ppp2ppp/3pn3/3N4/P3P3/3Q4/1P1N1PPP/R4RK1 b - - 4 14,maia_1700,0.25
r1bqr1k1/ppp2ppp/3pn3/3N4/P3P3/3Q4/1P1N1PPP/R4RK1 b - - 4 14,maia_1800,0.5
r1bqr1k1/ppp2ppp/3pn3/3N4/P3P3/3Q4/1P1N1PPP/R4RK1 b - - 4 14,maia_1900,0.25
r1bqr1k1/ppp2ppp/3pn3/3N4/P3P3/3Q4/1P1N1PPP/R4RK1 b - - 4 14,stockfish_elo_1950,0.5
r1bqr1k1/ppp2ppp/3pn3/3N4/P3P3/3Q4/1P1N1PPP/R4RK1 b - - 4 14,stockfish_elo_2007,0.0
r1bqr1k1/ppp2ppp/3pn3/3N4/P3P3/3Q4/1P1N1PPP/R4RK1 b - - 4 14,stockfish_elo_2050,1.0
r1bqr1k1/ppp2ppp/3pn3/3N4/P3P3/3Q4/1P1N1PPP/R4RK1 b - - 4 14,dragon,0.5
r1bqr1k1/ppp2ppp/3pn3/3N4/P3P3/3Q4/1P1N1PPP/R4RK1 b - - 4 14,stockfish_full_test,0.5
r1bqr1k1/ppp2ppp/3p4/2nN4/P3P3/5Q2/1P1N1PPP/R4RK1 b - - 6 15,player,0.0
r1bqr1k1/ppp2ppp/3p4/2nN4/P3P3/5Q2/1P1N1PPP/R4RK1 b - - 6 15,maia_1100,0.5
r1bqr1k1/ppp2ppp/3p4/2nN4/P3P3/5Q2/1P1N1PPP/R4RK1 b - - 6 15,maia_1200,0.5
r1bqr1k1/ppp2ppp/3p4/2nN4/P3P3/5Q2/1P1N1PPP/R4RK1 b - - 6 15,maia_1300,0.5
r1bqr1k1/ppp2ppp/3p4/2nN4/P3P3/5Q2/1P1N1PPP/R4RK1 b - - 6 15,maia_1400,0.5
r1bqr1k1/ppp2ppp/3p4/2nN4/P3P3/5Q2/1P1N1PPP/R4RK1 b - - 6 15,maia_1500,0.5
r1bqr1k1/ppp2ppp/3p4/2nN4/P3P3/5Q2/1P1N1PPP/R4RK1 b - - 6 15,maia_1600,0.5
r1bqr1k1/ppp2ppp/3p4/2nN4/P3P3/5Q2/1P1N1PPP/R4RK1 b - - 6 15,maia_1700,0.5
r1bqr1k1/ppp2ppp/3p4/2nN4/P3P3/5Q2/1P1N1PPP/R4RK1 b - - 6 15,maia_1800,0.5
r1bqr1k1/ppp2ppp/3p4/2nN4/P3P3/5Q2/1P1N1PPP/R4RK1 b - - 6 15,maia_1900,0.5
r1bqr1k1/ppp2ppp/3p4/2nN4/P3P3/5Q2/1P1N1PPP/R4RK1 b - - 6 15,stockfish_elo_1950,1.0
r1bqr1k1/ppp2ppp/3p4/2nN4/P3P3/5Q2/1P1N1PPP/R4RK1 b - - 6 15,stockfish_elo_2007,1.0
r1bqr1k1/ppp2ppp/3p4/2nN4/P3P3/5Q2/1P1N1PPP/R4RK1 b - - 6 15,stockfish_elo_2050,1.0
r1bqr1k1/ppp2ppp/3p4/2nN4/P3P3/5Q2/1P1N1PPP/R4RK1 b - - 6 15,dragon,1.0
r1bqr1k1/ppp2ppp/3p4/2nN4/P3P3/5Q2/1P1N1PPP/R4RK1 b - - 6 15,stockfish_full_test,1.0
r1b1r1k1/ppp2ppp/3p4/2nN2q1/P3PQ2/8/1P1N1PPP/R4RK1 b - - 8 16,player,1.0
r1b1r1k1/ppp2ppp/3p4/2nN2q1/P3PQ2/8/1P1N1PPP/R4RK1 b - - 8 16,maia_1100,1.0
r1b1r1k1/ppp2ppp/3p4/2nN2q1/P3PQ2/8/1P1N1PPP/R4RK1 b - - 8 16,maia_1200,1.0
r1b1r1k1/ppp2ppp/3p4/2nN2q1/P3PQ2/8/1P1N1PPP/R4RK1 b - - 8 16,maia_1300,1.0
r1b1r1k1/ppp2ppp/3p4/2nN2q1/P3PQ2/8/1P1N1PPP/R4RK1 b - - 8 16,maia_1400,1.0
r1b1r1k1/ppp2ppp/3p4/2nN2q1/P3PQ2/8/1P1N1PPP/R4RK1 b - - 8 16,maia_1500,1.0
r1b1r1k1/ppp2ppp/3p4/2nN2q1/P3PQ2/8/1P1N1PPP/R4RK1 b - - 8 16,maia_1600,1.0
r1b1r1k1/ppp2ppp/3p4/2nN2q1/P3PQ2/8/1P1N1PPP/R4RK1 b - - 8 16,maia_1700,1.0
r1b1r1k1/ppp2ppp/3p4/2nN2q1/P3PQ2/8/1P1N1PPP/R4RK1 b - - 8 16,maia_1800,1.0
r1b1r1k1/ppp2ppp/3p4/2nN2q1/P3PQ2/8/1P1N1PPP/R4RK1 b - - 8 16,maia_1900,1.0
r1b1r1k1/ppp2ppp/3p4/2nN2q1/P3PQ2/8/1P1N1PPP/R4RK1 b - - 8 16,stockfish_elo_1950,1.0
r1b1r1k1/ppp2ppp/3p4/2nN2q1/P3PQ2/8/1P1N1PPP/R4RK1 b - - 8 16,stockfish_elo_2007,1.0
r1b1r1k1/ppp2ppp/3p4/2nN2q1/P3PQ2/8/1P1N1PPP/R4RK1 b - - 8 16,stockfish_elo_2050,1.0
r1b1r1k1/ppp2ppp/3p4/2nN2q1/P3PQ2/8/1P1N1PPP/R4RK1 b - - 8 16,dragon,1.0
r1b1r1k1/ppp2ppp/3p4/2nN2q1/P3PQ2/8/1P1N1PPP/R4RK1 b - - 8 16,stockfish_full_test,1.0
r1b1r1k1/ppp2ppp/3p4/2n5/P3PN2/8/1P1N1PPP/R4RK1 b - - 0 17,player,1.0
r1b1r1k1/ppp2ppp/3p4/2n5/P3PN2/8/1P1N1PPP/R4RK1 b - - 0 17,maia_1100,1.0
r1b1r1k1/ppp2ppp/3p4/2n5/P3PN2/8/1P1N1PPP/R4RK1 b - - 0 17,maia_1200,1.0
r1b1r1k1/ppp2ppp/3p4/2n5/P3PN2/8/1P1N1PPP/R4RK1 b - - 0 17,maia_1300,1.0
r1b1r1k1/ppp2ppp/3p4/2n5/P3PN2/8/1P1N1PPP/R4RK1 b - - 0 17,maia_1400,1.0
r1b1r1k1/ppp2ppp/3p4/2n5/P3PN2/8/1P1N1PPP/R4RK1 b - - 0 17,maia_1500,1.0
r1b1r1k1/ppp2ppp/3p4/2n5/P3PN2/8/1P1N1PPP/R4RK1 b - - 0 17,maia_1600,1.0
r1b1r1k1/ppp2ppp/3p4/2n5/P3PN2/8/1P1N1PPP/R4RK1 b - - 0 17,maia_1700,1.0
r1b1r1k1/ppp2ppp/3p4/2n5/P3PN2/8/1P1N1PPP/R4RK1 b - - 0 17,maia_1800,1.0
r1b1r1k1/ppp2ppp/3p4/2n5/P3PN2/8/1P1N1PPP/R4RK1 b - - 0 17,maia_1900,1.0
r1b1r1k1/ppp2ppp/3p4/2n5/P3PN2/8/1P1N1PPP/R4RK1 b - - 0 17,stockfish_elo_1950,1.0
r1b1r1k1/ppp2ppp/3p4/2n5/P3PN2/8/1P1N1PPP/R4RK1 b - - 0 17,stockfish_elo_2007,1.0
r1b1r1k1/ppp2ppp/3p4/2n5/P3PN2/8/1P1N1PPP/R4RK1 b - - 0 17,stockfish_elo_2050,1.0
r1b1r1k1/ppp2ppp/3p4/2n5/P3PN2/8/1P1N1PPP/R4RK1 b - - 0 17,dragon,1.0
r1b1r1k1/ppp2ppp/3p4/2n5/P3PN2/8/1P1N1PPP/R4RK1 b - - 0 17,stockfish_full_test,1.0
r1b1r1k1/ppp2ppp/3p4/8/P3nN2/8/1P1N1PPP/R3R1K1 b - - 1 18,player,1.0
r1b1r1k1/ppp2ppp/3p4/8/P3nN2/8/1P1N1PPP/R3R1K1 b - - 1 18,maia_1100,0.0
r1b1r1k1/ppp2ppp/3p4/8/P3nN2/8/1P1N1PPP/R3R1K1 b - - 1 18,maia_1200,1.0
